Flag Type,Flag description,What was done,Where found,Where placed
ambiguous attribution,It is unclear whether the long member rosters of The Royal Victorian Liedertafel should all be treated as event credits or only organizational information.,Captured principal office-bearers and orchestral personnel as credits; preserved broader roster presence in additional_information context rather than listing every choir member as event credits.,34513-34559,not located
non-musical information,Advertisement material for shirts and clothing appears before Page 13 and is unrelated to a musical event.,Created a non-event record and preserved the advertisement text in additional_information.,34851-34862,37694
ambiguous event boundary,"Page 13 begins mid-lyrics, indicating the musical event started before this chunk.",Created the event using only visible information and noted that the text begins mid-performance.,34863-34898,28808
incomplete information,The title and attribution of the mid-lyrics text on Page 13 are not visible in this chunk.,Preserved the lyrics as an untitled performance with null name and flagged for review.,34864-34898,28808
potential misspelling,"Performer name appears as both ""Lillian Reid"" and ""LILIAN REID."" within the same event.",Preserved both forms exactly as printed and included both in contextually appropriate places.,34902-34902,37539
potential misspelling,"Performer name appears as both ""Lillian Reid"" and ""LILIAN REID."" within the same event.",Preserved both forms exactly as printed and included both in contextually appropriate places.,34931-34931,37733
non-musical information,Advertisement for ophthalmic optician interrupts the Frithjof program pages.,Separated the advertisement into its own non-event record.,35016-35031,38000
OCR error,"Text ""Woe! Ch! wicked deed!"" may contain OCR corruption or typographical irregularity.",Preserved the wording exactly and flagged for manual review.,35040-35042,37873
non-musical information,Advertisement for eucalyptus oil is unrelated to a musical event.,Created a separate non-event record and preserved the full text in additional_information.,35224-35243,15835
ambiguous event boundary,"A new document begins at Page 1 for a Parsifal concert, but only opening pages and partial personnel lists are visible in this chunk.",Created a separate event for the visible document and noted that the extraction is incomplete.,35245-35350,38052
non-musical information,Page 2 contains OCR metadata rather than source program text.,Preserved the metadata in additional_information for the event because it appears in the supplied OCR chunk.,35267-35274,5726
incomplete information,"The orchestra personnel list on Page 4 is cut off mid-list at ""H. Edwards.""",Extracted only the visible names and flagged the truncation.,35325-35350,not located
incomplete information,"The chunk provides pages of a program and scheme but does not show a complete event date, venue, or location.","Created a single event with null date, venue, and location.",35277-35775,not located
ambiguous event boundary,The source chunk appears to be part of a larger program. Beginning and/or ending of the event may lie outside this chunk.,Extracted only the information visible in this chunk as one event.,35276-35775,not located
formatting error,"Instrument listing for percussion appears broken across lines and uses vertical bars, making exact role grouping uncertain.",Preserved the wording in a combined credit role.,35414-35420,not located
OCR error,Second tenor entry appears truncated.,Preserved the text exactly as printed.,35462-35462,38105
formatting error,Second tenor entry appears to be missing an opening parenthesis before 'on leave'.,Preserved the text exactly as printed.,35468-35468,38105
potential misspelling,Choir member name may be inconsistent with earlier staff listing.,Preserved both forms exactly as they appear.,35499-35499,38106
potential misspelling,"Program note attributes words to 'Gustle', which may be an OCR or spelling issue.",Preserved the wording exactly and recorded as text author credit.,35725-35725,38140
incomplete information,"The final listed work begins on page 14 and likely continues beyond the chunk, so details such as soloist or text are incomplete here.","Extracted only the visible information for ""LANDERKENNUNG"".",35764-35775,not located
non-musical information,Biographical and explanatory prose about Wagner and Brahms is included alongside the program.,Preserved this material in additional_information fields rather than omitting it.,35592-35727,38133
ambiguous event boundary,The first event begins mid-text with lyric lines and no visible title or event heading for the overall program in this chunk.,Created a separate concert event for the material on pages 12-20 and noted that it is a continuation from an earlier chunk.,35701-35710,38131
potential misspelling,"The source says ""Words of Gustle"" in descriptive prose, which may be a misspelling or OCR issue.",Preserved the wording exactly in additional contextual prose via performance additional information and flagged for review.,35725-35725,38140
potential misspelling,"The source says ""briddled"" in the Brahms note, which may be misspelled or OCR-distorted.",Preserved exactly as printed in the source and flagged for review.,35727-35727,not located
potential misspelling,"The source says ""Scheme"" in quotation marks where a different term may have been intended.",Preserved exactly in performance additional_information and flagged for review.,35823-35823,not located
OCR error,"The source line appears to omit a closing parenthesis after ""for the Vases"" and may contain punctuation loss in the acknowledgements.",Preserved the acknowledgement text in context and flagged the line for review.,35969-35969,18515
non-musical information,Pages 21-24 contain OCR metadata rather than musical program content.,Excluded metadata pages from event structuring and recorded this flag.,35980-36014,5726
incomplete information,The second event's member list is only partially present in this chunk and likely continues beyond the visible lines.,Transcribed only the visible member names and noted partial coverage in additional_information.,36098-36200,51
ambiguous event boundary,"The chunk begins with a long list of names before the heading ""Programme,"" suggesting the event or document begins earlier than this chunk.",Included the names in event additional_information and extracted the visible programme as a single event without inventing earlier context.,36126-36218,not located
incomplete information,"The heading ""Basses"" appears within the prefatory name list, but other voice-part headings are not visible in this chunk.","Preserved ""Basses"" in the additional_information context rather than assigning unsupported roles to all names.",36160-36218,5049
potential misspelling,"The name ""H. Ropk"" may contain an OCR or spelling problem.",Preserved the name exactly as printed in additional_information.,36198-36198,38229
potential misspelling,"The text gives soloist ""Mr. Henry Rofe,"" which may conflict with another similar name form in the document context.","Preserved ""Mr. Henry Rofe"" exactly as printed.",36227-36227,36511
potential misspelling,"The title ""Rakocsky March"" may be misspelled or reflect OCR uncertainty.",Preserved the title exactly as printed.,36441-36441,36575
incomplete information,"Within ""Selections from \""La Damnation de Faust,\"""" only items 2 and 4 have lyrics/transcript in this chunk; items 1 and 3 are listed without further text.",Recorded all listed items in additional_information and preserved only the visible text.,36441-36463,not located
OCR error,"The line ""At the sound of the trumpet we soldiers so"" appears textually incomplete or corrupted.",Preserved the wording exactly in the transcript.,36471-36472,36575
potential misspelling,"The Latin line ""Jam nox stellata vel amina pandit"" may contain OCR corruption in ""vel amina.""",Preserved the line exactly as printed.,36477-36477,36575
potential misspelling,"The phrase ""With micht"" may contain OCR corruption or a misspelling.",Preserved the phrase exactly as printed.,36536-36536,38356
potential misspelling,"The word ""Wraft"" may contain OCR corruption or a misspelling.",Preserved the word exactly as printed.,36602-36602,36596
non-musical information,The opening material on pages 17-18 appears to be residual lyrics/text and printer's imprint from a prior document without enough event metadata in this chunk to identify the musical event.,Created a non-event record preserving the text presence and imprint in additional_information.,36551-36627,not located
conflicting information,"The Melbourne Liedertafel Concert document contains conflicting dates: ""WEDNESDAY EVENING 6TH NOVEMBER, 1889."" and later ""MONDAY, NOVEMBER 6, '99.""",Used the complete explicit date 06/11/1889 from page 20 for event_date and recorded the conflicting page 1 date information in additional_information for manual review.,36639-36650,38402
ambiguous event boundary,"The page sequence for the Melbourne Liedertafel Concert jumps from ""=== Page 20 ==="" to ""=== Page 1 ==="", suggesting two document states or merged materials.","Treated the material as a single event because the title and venue appear continuous, but flagged for review.",36638-36655,not located
incomplete information,"The text for ""The Ship o' the Fiend"" is cut off at ""With merchandis /     And my..."" within the chunk.",Preserved the truncated OCR exactly as present.,36692-36695,not located
ambiguous attribution,"The passage beginning ""And it was Olav Trygvason"" appears as a separate item in the program but no heading, composer, or performer is visible in this chunk.",Recorded it as a separate performance with null performance_type and no explicit attribution.,36732-36765,8547
incomplete information,"The text for ""Lord Ullin's Daughter"" is truncated at the page break after ""And I'll give you a guinea and / To row"".",Preserved the OCR exactly as present and continued with subsequent visible text.,36925-36929,38461
duplicate information,The title page information for the 27 September 1899 concert appears twice in the chunk on pages 1 and 3.,Created one event and noted the repeated title information in additional_information.,36990-37021,38470
potential misspelling,"The performer name ""SIGNOR ACHILLE REBOTTAPO"" may contain OCR or spelling issues, but this cannot be resolved from the source alone.",Preserved the name exactly as printed and flagged for manual review.,37032-37033,38479
duplicate information,The 1899 concert title information appears duplicated across separate pages in the chunk.,Treated the repeated title pages as part of a single event and noted duplication in additional_information.,36990-37021,not located
potential misspelling,"The baritone's surname appears in conflicting forms: REBOTTAPO, REBOTTARO, and REBOTARO.",Preserved each spelling exactly as it appears and included them in credits/additional_information.,37032-37235,not located
OCR error,The text 'mamma dew' in the lyrics may be an OCR error or textual irregularity.,Preserved the wording exactly in the lyrics transcript.,37116-37119,38540
non-musical information,Printer information appears in the 1899 programme and is not itself a musical event item.,Preserved it in event additional_information and credits as printer.,37258-37261,38516
non-musical information,Page 2 of the 1970 souvenir programme contains an advertisement rather than event programme content.,Created a separate non-event entry containing the advertisement text.,37293-37320,38720
incomplete information,The orchestral personnel list and abbreviations note continue only partially within this chunk; the abbreviations section is cut off after 'W.A. — Western Australia'.,Extracted only the visible personnel and abbreviation text without inferring missing continuation.,37474-37475,38614
ambiguous attribution,"The dates in parentheses following composer names in the 1970 programme may be composer life dates rather than work dates, and one line places '(1743-1805)' immediately after the soloist line.",Preserved the parenthetical dates in performance additional_information rather than normalizing them.,37328-37344,38626
incomplete information,"The Australian Youth Orchestra roster begins mid-list, so earlier instrument groups and contextual event information are missing from this chunk.",Extracted only the visible roster fragment and visible programme/material; noted that the roster begins mid-list in additional_information.,37401-37407,not located
potential misspelling,"State abbreviation expansion appears as ""S.A. — Southern Australia,"" which may be unusual or erroneous, but must be preserved as printed.",Preserved the wording exactly and flagged for review.,37474-37481,38745
non-musical information,Advertisement for Billy Casper and SHIRO (PHILS.) INC. is unrelated to a musical event.,Created a non-event record and placed advertisement text in additional_information.,37483-37494,not located
incomplete information,"The Brian D. Barnes One Man Theatre Festival gives only a date range ""3rd to 13th September, 1970"" rather than a complete single event date.",Set event_date to null and preserved the date range in additional_information.,37506-37510,38801
non-musical information,Advertisement for Philip Morris Menthol 100's is unrelated to a musical event.,Created a non-event record and placed advertisement text in additional_information.,37678-37708,not located
non-musical information,Advertisement for San Miguel Corporation products is unrelated to a musical event.,Created a non-event record and placed advertisement text in additional_information.,37710-37758,not located
ambiguous event boundary,"A new document begins at ""=== Page 1 ==="" for THE ROYAL METROPOLITAN LIEDERTAPEL after non-event pages. Only introductory and orchestra roster pages are visible, so the full concert document extends beyond the chunk or is incomplete within it.",Treated the visible pages as a separate event document and extracted only information present in the visible pages.,37760-37900,20902
incomplete information,"The Royal Metropolitan Liedertapel concert pages visible in this chunk do not include programme items; only title, officers, concert heading, and orchestra roster are present.",Created the event with an empty performances list and preserved visible contextual information in additional_information.,37808-37900,not located
ambiguous event boundary,"The first visible event consists of orchestra personnel and assisting artists, but its title, date, venue, and programme context are not present in this chunk, indicating the event began before the chunk.",Created a separate event with null unavailable fields and preserved all visible personnel and notes in credits and additional_information.,37826-37930,not located
OCR error,"Possible OCR or printing error in instrument heading ""Side Drum & Triangl"".",Preserved the heading exactly as printed in the credit role.,37902-37903,39038
OCR error,"Possible OCR or printing error in instrument heading ""Grand Cass and Cymbals.""",Preserved the heading exactly as printed in the credit role.,37905-37906,39039
conflicting information,"The review names the composer as ""the Rev. J. H. Mee,"" while the programme line reads ""Dr. John H. Ree,"" which may indicate a conflict or OCR problem.",Preserved both forms in the event credits/additional_information without reconciliation.,37934-37942,not located
ambiguous event boundary,"The ""Extract from the ""Musical Times,"""" may be contextual programme note material rather than a separate event; it is attached here to the programme event because the subsequent pages clearly present the same work.",Included the review text in additional_information for the programme event rather than creating a separate non-event.,37931-37935,not located
incomplete information,The text of No. 5.—EPILOGUE. is truncated because the chunk ends mid-verse.,Transcribed all visible text only and noted truncation in the performance additional_information.,38280-38325,not located
ambiguous event boundary,The first event begins mid-performance and likely belongs to a larger concert program that started before this chunk.,Created a concert event with visible text only and noted that the opening performance text is incomplete.,38251-38336,39107
non-musical information,"Membership list is not itself a musical event program item, though it is related to the organization.","Created a separate event with event_type ""non-event"" and preserved the full membership list in additional_information.",38479-38599,not located
ambiguous event boundary,"A new event heading for 1892 appears immediately before another distinct document beginning with page 1 for 1905, suggesting multiple documents within the chunk.",Separated the 1892 heading as its own event and the 1905 Melbourne Liedertafel material as another event.,38600-38614,not located
non-musical information,Advertisements and OCR metadata appear within the 1905 document pages.,Preserved this material in event additional_information for the 1905 event.,38617-38750,not located
OCR error,"The credit line reads ""PRO. MARSHALL-HALL."" which may be an OCR error for a title, but cannot be corrected from the source alone.",Preserved the wording exactly in the credits and flagged for review.,38705-38706,not located
OCR error,"The role heading reads ""Deputy Hon. Pianistis:"" which appears irregular.",Preserved the wording exactly in the credits and flagged for review.,38721-38723,not located
OCR error,"The advertisement line ""For ... Telephone 1764."" is partially illegible or corrupted.",Preserved the wording exactly in additional_information and flagged for review.,38648-38648,39287
incomplete information,"The 1905 concert date is stated textually as ""July 31st, 1905"" without numeric month formatting in the source; schema requires dd/mm/yyyy only when complete date is explicitly available.",Left event_date as null and preserved the textual date in event_name/additional_information.,38612-38612,39262
non-musical information,Administrative roster of officers and council appears in the chunk and is not itself a musical event.,Created a non-event record and preserved roles and names as credits.,38676-38733,not located
non-musical information,Advertisement for optical goods and services.,Created a non-event record and preserved advertisement text in additional_information.,38734-38745,not located
non-musical information,Advertisement for hair coloring product.,Created a non-event record and preserved advertisement text in additional_information.,38747-38765,not located
non-musical information,Choir membership roster is not itself a musical event.,Created a non-event record and preserved all names and note '(*) Signifies on leave.',38767-38917,not located
non-musical information,Photography studio advertisement.,Created a non-event record and preserved advertisement text in additional_information.,38918-38933,not located
non-musical information,Piano advertisement.,Created a non-event record and preserved advertisement text in additional_information.,38934-38948,not located
potential misspelling,Role appears as 'PRO. MARSHALL-HALL.' which may be an OCR or source issue.,Preserved exactly as printed in the credit.,38705-38706,not located
potential misspelling,Role appears as 'Deputy Hon. Pianistis:' which may be an OCR or source issue.,Preserved exactly as printed in the credit role.,38721-38723,not located
potential misspelling,"Choir name appears as 'Statteis, J.' which may conflict with earlier 'MR. J. STATTERS.'",Preserved both forms exactly as they appear.,38876-38877,39377
duplicate information,Advertisement repeats the slogan 'British Pianos For British People' twice.,Preserved repeated wording in additional_information.,38937-38939,39418
incomplete information,"Programme event begins within the chunk but lacks explicit event name beyond generic heading 'Programme', and venue/date/location are not visible in this chunk.",Created a concert event with null values for unavailable fields.,38950-38952,not located
incomplete information,The final item 'Song of the Pirates' is cut off by the end of the chunk.,Transcribed only visible text and noted truncation in performance additional_information.,39146-39175,not located
potential misspelling,Performance type appears as 'Gantata—' which may be an OCR or source issue.,Preserved exactly as printed for the performance type.,39029-39030,not located
incomplete information,Part Song 'Serenade' shows no composer in the visible chunk.,Left composer out of credits for this item and preserved only visible performer and text.,39008-39019,not located
OCR error,Advertisement heading reads 'The... Angelus' with ellipsis-like unreadable characters.,Preserved as printed and created a flag for manual review.,39061-39061,39565
non-musical information,Optician advertisement.,Created a non-event record and preserved advertisement text in additional_information.,38994-39006,not located
non-musical information,Piano-playing instrument advertisement.,Created a non-event record and preserved advertisement text in additional_information.,39060-39071,39565
ambiguous event boundary,"The first visible line appears to belong to a preceding item, and the surrounding concert program is incomplete within this chunk.",Created a program-fragment event and preserved the isolated line as a separate performance note within the event additional information/performances.,39101-39102,7557
non-musical information,Advertisement material for corsets appears between music-program pages.,Recorded as a separate non-event.,39198-39208,39640
non-musical information,Commercial invitation and store advertisements appear in the chunk.,Recorded as a separate non-event.,39210-39244,136
ambiguous event boundary,"The Musashino Academia Musicae orchestral concert booklet includes program, profiles, notes, roster, advertisements, and future event listings; some of these may be separate documents or ancillary matter.","Separated the main concert from clearly distinct future event listings and non-event advertisements, while preserving page references in additional_information.",39246-39588,39678
incomplete information,The main Musashino concert gives month and day for two performances but no explicit year attached directly to the dates in a complete date format.,Left event_date null and preserved visible dating text in additional_information.,39285-39297,not located
OCR error,"Possible OCR/text inconsistency in soloist romanization: Japanese name ""宇野 周子"" is paired with English ""Piano: Kaneko Uno"".",Preserved both forms exactly and included them together in credits.,39264-39265,not located
OCR error,Possible OCR corruption in the quoted Richter line beginning with an unusual character before the name.,Preserved the wording exactly in non-event additional_information.,39589-39591,39849
incomprehensible OCR,Some program-note text appears garbled or corrupted in several places.,Did not normalize or correct; preserved only at event level as contextual additional information rather than forcing corrupted prose into structured fields.,39364-39368,not located
formatting error,"Instrument roster on Page 7 appears misordered or misgrouped, with names following ""Violoncello"" before ""Double Bass,"" and some later instrument headings followed by unexpected counts.",Did not convert the roster into detailed performer credits because instrument-to-name mapping is uncertain in this OCR chunk.,39475-39560,not located
incomplete information,"The final document ""武蔵野音楽大学 楽器博物館"" is only a header/front matter in this chunk; no event content is visible.",Recorded as a non-event with document-header information only.,39595-39600,not located
incomplete information,"Instrumentalist names at the beginning of the chunk appear without a visible event heading or context, so they could not be confidently attached to a specific event.",Did not create a separate event for the isolated name lists; preserved by flag only.,39526-39560,not located
non-musical information,YAMAHA CONCERT GRAND PIANO CF appears to be advertisement copy rather than a musical event.,Created a non-event record and placed the text in additional_information.,39588-39594,28291
non-musical information,武蔵野音楽大学 楽器博物館 pages describe a museum and its holdings rather than a specific musical event.,Created a non-event record and preserved the descriptive text in additional_information.,39595-39764,39860
OCR error,Possible OCR corruption in quoted speaker name.,Preserved the text exactly as printed in credits and additional_information.,39591-39591,39849
OCR error,Possible OCR or typographical error in work title 'Symphonic Peom'.,Preserved the title exactly as printed.,39817-39817,40054
incomplete information,Several Japanese listings give month/day and time but no year.,Set event_date to null for those events and preserved the original text in additional_information.,39562-39587,not located
incomplete information,"Graduation Recital for Selected members has only a composer line visible, with no recoverable work title in this chunk due to a very long dotted OCR line.",Created the event with available information and left performances empty.,39928-39933,33324
incomprehensible OCR,Extremely long dotted line after 'R. Wagner' prevents reliable extraction of the work title.,Did not invent a title; flagged for manual review.,39933-39933,not located
ambiguous attribution,"In the Undergraduate Students' Composition Recital, composer names are paired with works by layout rather than explicit role wording.",Recorded the names as composers at event level and repeated the associated name in each performance additional_information.,40003-40010,not located
potential misspelling,Possible unusual spelling 'Borobudor' in a work title.,Preserved exactly as printed.,40004-40004,40686
potential misspelling,Possible unusual spelling 'Addinsel' in composer name.,Preserved exactly as printed.,39862-39862,40121
conflicting information,"The Japanese dates earlier in the chunk for 管弦楽団・合唱団演奏会 are 12月4日 and 12月9日, while the English season program lists Orchestra and Choir on December 7 and December 8, 1976. They may be different documents or conflicting schedules.",Extracted them as separate events because they appear in separate document contexts and dates differ.,39572-39575,39788
ambiguous event boundary,"The chunk contains multiple distinct documents: a Japanese schedule fragment, an advertisement, a museum booklet, and an English concert program.",Separated these into distinct event/non-event records based on headings and page breaks.,39562-40025,not located
incomplete information,"The chunk begins with repertoire lines belonging to an event whose heading, date, venue, and performers are not visible in this chunk.",Created a separate event with null event-level fields where unavailable and preserved the visible program entries.,39951-39958,40797
ambiguous attribution,"In the first visible line, 'Concerto in b by Giuseppe Meck' appears after the composer name 'J.G. Walter', making attribution unclear.",Recorded J.G. Walter as the composer from the left column and preserved 'by Giuseppe Meck' in additional_information for the performance.,39951-39951,40797
duplicate information,The same work title 'Mephisto-Walzer Nr.1' appears twice in the same Undergraduate Students’ Piano Recital program.,Preserved both occurrences as listed in the source.,40054-40059,not located
duplicate information,The same work 'Konzert D dur Op.77 I Satz (Vln.)' by J. Brahms appears twice in the Undergraduate Students’ Strings Recital program.,Preserved both occurrences as listed in the source.,40114-40116,not located
OCR error,A massive run of dotted filler after 'F. Liszt' prevents recovery of the work title in the Undergraduate Students' Piano Recital.,Created a performance entry with null performance_name and preserved the visible OCR string in additional_information.,40127-40127,41610
ambiguous event boundary,"Some events in the SPECIAL CONCERTS and recital listings have two separate date/venue lines, making it unclear whether they are one event with repeat performances or two separate events with the same program.",Represented each heading and its listed program as a single event and preserved both date/venue lines in additional_information.,40266-40267,42101
ambiguous event boundary,"Detlef Kraus Piano Recital has two date/venue lines, suggesting repeat performances or separate events.",Represented as a single event and preserved both date/venue lines in additional_information.,40286-40290,not located
ambiguous event boundary,"Miwako Matsumoto Soprano Recital has two date/venue lines, suggesting repeat performances or separate events.",Represented as a single event and preserved both date/venue lines in additional_information.,40303-40304,not located
non-musical information,"The GRADUATE STUDENTS’ RECITALS section is explanatory prose stating that programs are not included, not a specific musical event program.",Created a non-event record and preserved the prose in additional_information.,40440-40445,42807
non-musical information,"The GROUP CONCERTS section is explanatory prose stating that programs are not included, not a specific musical event program.",Created a non-event record and preserved the prose in additional_information.,40447-40450,20390
incomplete information,"Year is not explicitly stated in the Youth Concert entry, though later pages indicate season 1968~1969. Complete date was not inferable solely within the immediate event lines.",Used 18/10/1968 based on the broader season context visible in the chunk; manual review recommended.,40376-40387,42567
incomplete information,PUBLIC LECTURES entries list month and day but no year in the immediate listings.,Assigned 1968 or 1969 based on surrounding season context in the chunk; manual review recommended.,40390-40439,42617
incomplete information,Page 21 contains page metadata rather than program content.,Did not create a separate metadata event; preserved relevant front matter elsewhere only when useful.,40454-40461,5726
potential misspelling,"Heading reads 'GROUP CONCERNS' on Page 22, which may be an OCR or source issue relative to nearby 'GROUP CONCERTS'.",Preserved wording in flag only; did not create a separate event from this isolated heading.,40463-40465,not located
non-musical information,"Pages 1-4 include front matter, contents, and metadata rather than a single musical event.",Created one non-event record for the front matter and contents.,40466-40513,1630
potential misspelling,Role appears as 'CONDUCTER' rather than expected spelling.,Preserved as printed in credits.,40541-40544,not located
potential misspelling,Work title appears as '3 Mazurukas'.,Preserved OCR/source wording.,40566-40569,not located
incomplete information,"Brahms Series gives dates without explicit year on each line, but '1969' appears as a separate line applying to the series.",Kept event_date null and represented dated sub-series as sections.,40580-40608,10659
incomplete information,"Opera run is given as a date range 'June 8-11, 1968' rather than a single complete date in required format.",Set event_date to null and preserved the range in additional_information.,40621-40639,43677
potential misspelling,Production role appears as 'Cosutume'.,Preserved OCR/source wording in credits.,40632-40632,not located
potential misspelling,Work title appears as 'Carnival Op. 9'.,Preserved OCR/source wording.,40690-40692,not located
formatting error,Two Debussy pieces appear run together on one line: 'Les collines d'Anacapri General Lavine eccentric'.,Preserved as a single performance title for manual review.,40697-40699,not located
potential misspelling,Work title appears as 'Grand duo Concertanto for Clarinet and Piano Op. 48'.,Preserved OCR/source wording.,40748-40748,not located
ambiguous attribution,Line 'Pietro Metastasio' appears under Händel's 'Siroe' and may indicate librettist or text author rather than a performed number.,Included Pietro Metastasio as an event-level credit and preserved the line in lyrics_transcript for the performance.,40807-40809,not located
potential misspelling,Title appears as 'Botchaft'.,Preserved OCR/source wording.,40822-40824,25673
potential misspelling,Catalog number appears as 'Np. 61'.,Preserved OCR/source wording.,40834-40835,44785
potential misspelling,Opera title appears as 'Die Zauberflote' without umlaut in this instance.,Preserved as printed.,40857-40861,not located
potential misspelling,French text appears as 'une affair'.,Preserved OCR/source wording.,40867-40868,44964
incomplete information,"Chunk ends mid-program for Sat. December 7, 1968 String Ensemble by Students.",Created partial event with only visible repertoire and flagged as incomplete.,40872-40875,not located
ambiguous event boundary,"The first four lines appear to be a continuation of a prior event with no visible heading, date, or boundary in this chunk.",Created a fragmentary concert event with null event-level details and preserved the listed works in additional_information and performances.,40801-40804,not located
incomplete information,"Several dated events give month, day-of-week, month, and year textually, but not in a form that can be converted to dd/mm/yyyy without inferring the numeric day from ordinal-free wording conventions.",Left event_date as null and preserved the original date wording in additional_information.,40806-40901,not located
OCR error,Possible OCR issue in work title 'Rossigno! et la rose'.,Preserved the text exactly as printed and flagged for review.,40813-40813,44643
OCR error,Possible OCR issue in title 'Botchaft'.,Preserved the text exactly as printed and flagged for review.,40823-40823,25673
OCR error,Possible OCR issue in title 'Polonaise-Fantasie Np. 61'.,Preserved the text exactly as printed and flagged for review.,40835-40835,44785
OCR error,Possible OCR issue in title 'Die Zauberflote'.,Preserved the text exactly as printed and flagged for review.,40857-40857,not located
OCR error,Possible OCR issue in text 'Nous avons en tête une affair'.,Preserved the text exactly as printed and flagged for review.,40868-40868,44964
incomprehensible OCR,The duet title 'Duetto Le eliege' is unclear and may contain OCR corruption.,Preserved the wording exactly in additional_information for the performance and flagged for manual review.,40869-40870,44971
OCR error,Possible OCR issue in composer credit 'O. Fauré'.,Preserved the text exactly as printed and flagged for review.,40892-40892,45537
non-musical information,Pages 17-18 contain OCR metadata fields rather than program content.,Did not create separate metadata-only events; preserved only surrounding page-context where useful.,40907-40923,not located
non-musical information,"Pages 2-6 and 8-16 of the 1939 souvenir programme contain advertisements, articles, photographs, and promotional text not constituting musical events.",Created non-event entries to preserve the material.,40932-41175,not located
duplicate information,The HIAWATHA souvenir programme appears in one event entry and the later cast table pages describe the same production again.,"Created a separate event for the cast-table fragment because it appears as a distinct document section in this chunk, and noted duplication for manual review.",40925-41200,not located
incomplete information,The HIAWATHA cast table is truncated; the third table begins but most entries are not visible in this chunk.,Preserved all visible cast assignments in additional_information and left the remainder unexpanded.,41177-41200,not located
OCR error,Possible OCR issue in the cast name 'HEINRY WENDON'.,Preserved the spelling exactly as it appears and flagged for review.,41109-41110,45985
OCR error,Possible OCR issue in cast list name 'LAEIA FINNEBERG' versus later 'LAELIA FINNEBERG'.,Preserved both forms exactly where they appear and flagged the discrepancy.,41018-41018,45649
duplicate information,A partial duplicate cast table appears at the beginning of the chunk before the full tables start.,Preserved the visible repeated entries within the main Hiawatha event and noted likely duplication.,41226-41236,not located
incomplete information,"The chunk begins mid-document and mid-table, so event title, venue, location, and year for the cast tables are not visible here.",Created the Hiawatha event using only information visible in the chunk and left unavailable fields null.,41226-41245,not located
OCR error,"The role name appears as 'Iago' in cast tables but as 'Jagoo' on a later page for HOWARD HEMMING, suggesting conflicting/OCR-corrupted naming.",Recorded both forms as separate credits and flagged for manual review.,41270-41660,not located
potential misspelling,"The singer name appears as 'HEINRY WENDON' multiple times, which may be misspelled OCR.",Preserved 'HEINRY WENDON' exactly as printed and also preserved separate occurrence 'HENRY WENDON' elsewhere.,41266-41614,not located
conflicting information,The same apparent person may appear under two spellings: 'HEINRY WENDON' and 'HENRY WENDON'.,Recorded both spellings separately in credits.,41266-41614,not located
conflicting information,The same apparent role-holder may appear under two spellings: 'MURIEL RAE' in cast tables and 'MURIEL RAH' on Page 25.,Recorded both spellings separately in credits.,41310-41680,not located
conflicting information,The Medicine Man credit appears under two forms: 'CHIEF OS-KE-NON-TON of the Mohawk Tribe' and 'OS-KB-NON-TON'.,Preserved both forms as separate credited names for the role.,41459-41670,not located
incomprehensible OCR,The line beginning 'Gitche Manitö—the Great Spirit' is followed by an extremely long run of dots/ellipsis-like filler with no recoverable assigned name.,Mentioned the incomplete credit in additional_information and flagged it.,41467-41467,46035
incomplete information,A credit line 'REGINALD ASKEW' appears at the end of the chunk without any associated role or continuation.,Recorded as an incomplete credit and flagged for manual review.,41725-41725,45655
non-musical information,Several pages in the chunk are advertisements or institutional notices unrelated to a specific musical performance.,Created separate non-event entries for these materials.,41469-41698,not located
ambiguous event boundary,"The first event in this chunk is only a fragment of a larger program. Cast and production credits are visible, but the event title and fuller identifying details are not shown in the supplied lines.",Created a separate event using only the visible cast/production information and left unavailable event-level fields as null.,41652-41730,46311
potential misspelling,"The cast name/role string ""OS-KB-NON-TON"" appears unusual and may reflect OCR or source spelling issues.",Preserved the wording exactly as printed and recorded it as a credit.,41669-41670,not located
non-musical information,Travel advertisement material appears in the chunk and is unrelated to a musical event.,Excluded it from musical-event records and instead represented musical institutional notices separately where appropriate; no standalone event was created for this advertisement because the chunk already contains multiple clear unrelated advertisements and the extraction focuses on recoverable event-related material.,41689-41699,46266
non-musical information,Piano advertisement material appears in the chunk and is unrelated to a musical event.,Did not treat it as a musical performance event.,41904-41924,not located
non-musical information,Sea voyage advertisement material appears in the chunk and is unrelated to a musical event.,Did not treat it as a musical performance event.,42050-42078,not located
non-musical information,Advertisement and promotional material unrelated to a musical event appears in the chunk.,Grouped unrelated material into a separate non-event entry and preserved representative wording in additional_information.,42076-42078,46564
non-musical information,Hospital appeal unrelated to a musical event.,Included in non-event additional_information.,42176-42180,46564
non-musical information,Magazine advertisement unrelated to a musical event.,Included in non-event additional_information.,42183-42185,46564
non-musical information,Food advertisement unrelated to a musical event.,Included in non-event additional_information.,42187-42202,46564
ambiguous event boundary,The musical work appears to begin before this chunk and/or continue beyond it; only internal sections and text are visible here.,Extracted visible sections as separate events without inferring missing surrounding program information.,42081-42081,46450
ambiguous event boundary,Act II continues across interrupted pages with advertisements between pages 37 and 39.,Combined visible Act II text into one event and noted advertisement interruption in additional_information.,42205-42434,46491
ambiguous event boundary,Act III is incomplete at the end of the chunk.,Extracted only the visible synopsis and lyrics and noted truncation in additional_information.,42458-42575,46524
